modelo,nivel,semilla,banco,protocolo,acierto,rechazo,error,error_hacia_menos_presenciado,saltos_media,consultas_en_rechazo,n,persp_divergencia_jaccard,persp_conocidos_por_agente,persp_entropia_media
azar,0.125,43,texto_formacion,agregado,0.95,0.0,0.05,0.0,7.0,nan,1920,0.3968459471672852,8.0,2.266879444145729
azar,0.125,43,texto_formacion,pizarron,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0,nan,240,0.3968459471672852,8.0,2.266879444145729
azar,0.125,43,texto_reservado,directo,0.6396198830409356,0.22295321637426901,0.13742690058479531,0.2765957446808511,0.0,1.0,1368,0.3968459471672852,8.0,2.266879444145729
azar,0.125,43,texto_reservado,encadenado,0.8399122807017544,0.0,0.1600877192982456,0.0,0.3676900584795322,nan,1368,0.3968459471672852,8.0,2.266879444145729
azar,0.125,43,texto_reservado,agregado,0.9122807017543859,0.0,0.08771929824561403,0.0,7.0,nan,1368,0.3968459471672852,8.0,2.266879444145729
azar,0.125,43,texto_reservado,pizarron,0.935672514619883,0.0,0.06432748538011696,0.0,0.0,nan,171,0.3968459471672852,8.0,2.266879444145729
azar,0.125,43,imagen_test,directo,0.1359375,0.8640625,0.0,nan,0.0,1.0,1280,0.34022029094534256,8.0,2.268441214237221
azar,0.125,43,imagen_test,encadenado,0.81875,0.18125,0.0,nan,3.2280534351145036,8.0,1280,0.34022029094534256,8.0,2.268441214237221
azar,0.125,43,imagen_test,agregado,0.81875,0.18125,0.0,nan,7.0,8.0,1280,0.34022029094534256,8.0,2.268441214237221
azar,0.125,43,imagen_test,pizarron,0.81875,0.18125,0.0,nan,0.0,1.0,160,0.34022029094534256,8.0,2.268441214237221
azar,0.125,44,texto_formacion,directo,0.73125,0.0890625,0.1796875,0.26956521739130435,0.0,1.0,1920,0.4208421459794378,8.0,2.240801311078532
azar,0.125,44,texto_formacion,encadenado,0.815625,0.0,0.184375,0.0,0.1328125,nan,1920,0.4208421459794378,8.0,2.240801311078532
azar,0.125,44,texto_formacion,agregado,0.9208333333333333,0.0,0.07916666666666666,0.0,7.0,nan,1920,0.4208421459794378,8.0,2.240801311078532
azar,0.125,44,texto_formacion,pizarron,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0,nan,240,0.4208421459794378,8.0,2.240801311078532
azar,0.125,44,texto_reservado,directo,0.6293859649122807,0.2324561403508772,0.13815789473684212,0.25396825396825395,0.0,1.0,1368,0.4208421459794378,8.0,2.240801311078532
